parish_index,name,diocese,site_url,page_url,sources
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/blog/the-search-lenten-program-starts-feb-12th,sitemap
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/blog/updated-mass-times,sitemap
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/blog/vbs-in-july,sitemap
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/bulletins,"homepage_link, sitemap"
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/calendar,"homepage_link, sitemap"
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/cdn-cgi/l/email-protection,homepage_link
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/confirmation,"homepage_link, sitemap"
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/contact-us,"homepage_link, sitemap"
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/donate-bottle-booth-items,sitemap
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/eucharistic-ministers,"homepage_link, sitemap"
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/events,sitemap
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/events-news,"homepage_link, sitemap"
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/events/1st-communion,sitemap
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/events/1st-communion-1,sitemap
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/events/1st-communion-2nd-grade,sitemap
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/events/1st-communion-parent-meeting,sitemap
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/events/1st-friday-mass,sitemap
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/events/1st-saturday-confessions-8am-mass-8-30-followed-by-the-rosary,sitemap
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/events/2025-confirmation-adoration,sitemap
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/events/2025-confirmation-class,sitemap
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/events/2025-confirmation-group-2,sitemap
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/events/2025-confirmation-group-3,sitemap
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/events/2025-confirmation-group-4,sitemap
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/events/2026-confirmation-group-1,sitemap
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/events/2027-confirmation-class,sitemap
