diocese_name,address,city,state,site_link,parish_list_url,is_ecatholic,is_target
Diocese of Gaylord,611 W. North Street,Gaylord,MI,http://www.dioceseofgaylord.org/,https://dioceseofgaylord.org/find-a-parish,,FALSE
Diocese of Grand Rapids,360 Division Avenue S.,Grand Rapids,MI,https://grdiocese.org/,https://grdiocese.org/parishes/,,FALSE
Diocese of Kalamazoo,215 N. Westnedge Avenue,Kalamazoo,MI,http://www.dioceseofkalamazoo.org/,,,FALSE
Diocese of Lansing,228 N. Walnut Street,Lansing,MI,http://www.dioceseoflansing.org/,,,FALSE
Diocese of Marquette,1004 Harbor Hills Drive,Marquette,MI,http://www.dioceseofmarquette.org/,,,FALSE
Diocese of Saginaw,5800 Weiss Street,Saginaw,MI,http://www.saginaw.org/,,,FALSE
Archdiocese of St. Paul and Minneapolis,777 Forest Street,Saint Paul,MN,http://www.archspm.org/,,,FALSE
Diocese of Crookston,620 Summit Avenue N.,Crookston,MN,http://www.crookston.org/,,,FALSE
Diocese of Duluth,2830 E. Fourth Street,Duluth,MN,http://www.dioceseduluth.org/,,,FALSE
Diocese of New Ulm,1400 6th Street North,New Ulm,MN,http://www.dnu.org/,,,FALSE
Diocese of St. Cloud,P.O. Box 1248,St. Cloud,MN,http://www.stcdio.org/,,,FALSE
Diocese of Winona-Rochester,2907 Jeremiah Lane NW,Rochester,MN,http://www.dowr.org/,,,FALSE
Diocese of Biloxi,1790 Popps Ferry Road,Biloxi,MS,http://www.biloxidiocese.org/,,,FALSE
Diocese of Jackson,"237 East Amite, P.O. Box 2248",Jackson,MS,http://www.jacksondiocese.org/,,,FALSE
Maronite Eparchy of Our Lady of Lebanon,1021 S. 10th Street,St. Louis,MO,http://www.eparchy.org/,,,FALSE
Archdiocese of St. Louis,20 Archbishop May Drive,St. Louis,MO,http://www.archstl.org/,,,FALSE
Diocese of Jefferson City,"2207 West Main Street, P.O. Box 104900",Jefferson City,MO,http://www.diojeffcity.org/,,,FALSE
Diocese of Kansas City-St. Joseph,Post Office Box 419037,Kansas City,MO,https://kcsjcatholic.org/,,,FALSE
Diocese of Springfield-Cape Girardeau,601 S. Jefferson Avenue,Springfield,MO,http://www.dioscg.org/,,,FALSE
Diocese of Great Falls-Billings,P.O. Box 1399,Great Falls,MT,http://diocesegfb.org/,,,FALSE
Diocese of Helena,P.O. Box 1729,Helena,MT,http://www.diocesehelena.org/,,,FALSE
Archdiocese of Omaha,2222 N. 111th Street,Omaha,NE,http://www.archomaha.org/,,,FALSE
Diocese of Grand Island,2708 Old Fair Road,Grand Island,NE,http://www.gidiocese.org/,,,FALSE
