diocese_name,address,city,state,site_link,parish_list_url,ecatholic?
Diocese of Altoona-Johnstown,2713 West Chestnut Avenue,Altoona,PA,http://www.ajdiocese.org/,https://www.dioceseaj.org/parishes/,
Diocese of Erie,429 E. Grandview Blvd.,Erie,PA,http://www.eriercd.org/,https://www.eriercd.org/find-parish-school.php,
Diocese of Greensburg,723 East Pittsburgh St.,Greensburg,PA,http://www.dioceseofgreensburg.org/,https://www.dioceseofgreensburg.org/parishes/parish-directory/,
Diocese of Harrisburg,4800 Union Deposti Road,Harrisburg,PA,http://www.hbgdiocese.org/,https://www.hbgdiocese.org/parishes/,
Diocese of Pittsburgh,2900 Noblestown Road,Pittsburgh,PA,http://www.diopitt.org/,https://www.diopitt.org/alphabetical-list-of-current-parishes,
Diocese of Scranton,300 Wyoming Avenue,Scranton,PA,http://www.dioceseofscranton.org/,https://www.dioceseofscranton.org/find-a-parish/,
Diocese of Providence,One Cathedral Square,Providence,RI,http://www.dioceseofprovidence.org/,https://www.dioceseofprovidence.org/parishfinder,TRUE
Diocese of Charleston,901 Orange Grove Road,Charleston,SC,https://charlestondiocese.org/,https://directory.charlestondiocese.org/directories/parish-directory/,
Diocese of Rapid City,606 Cathedral Drive,Rapid City,SD,http://www.rapidcitydiocese.org/,https://www.rapidcitydiocese.org/parishes/,
Diocese of Sioux Falls,523 N. Duluth Avenue,Sioux Falls,SD,https://sfcatholic.org/,https://sfcatholic.org/parishes/,
Diocese of Knoxville,805 S. Northshore Drive,Knoxville,TN,http://www.dioknox.org/,https://www.dioknox.org/parishfinder,TRUE
Diocese of Memphis,5825 Shelby Oaks Drive,Memphis,TN,http://www.cdom.org/,,
Diocese of Nashville,2800 McGavock Pike,Nashville,TN,http://www.dioceseofnashville.com/,,
Archdiocese of Galveston-Houston,1700 San Jacinto,Houston,TX,http://www.archgh.org/,https://www.archgh.org/parishfinder,TRUE
Archdiocese of San Antonio,2718 West Woodlawn Avenue,San Antonio,TX,http://www.archsa.org/,,
Diocese of Amarillo,P.O. Box 5644,Amarillo,TX,http://www.amarillodiocese.org/,https://www.amarillodiocese.org/parishfinder,TRUE
Diocese of Austin,6225 Highway 290 East,Austin,TX,http://www.austindiocese.org/,https://www.austindiocese.org/parishfinder,TRUE
Diocese of Beaumont,710 Archie Street,Beaumont,TX,http://www.dioceseofbmt.org/,https://www.dioceseofbmt.org/parishfinder,TRUE
Diocese of Brownsville,1910 University Boulevard,Brownsville,TX,http://www.cdob.org/,,
Diocese of Corpus Christi,"555 N. Carancahua, Suite 750",Corpus Christi,TX,http://www.diocesecc.org/,https://www.diocesecc.org/parishfinder,TRUE
Diocese of Dallas,3725 Blackburn Street,Dallas,TX,http://www.cathdal.org/,https://dallascatholic.org/community-finder/,
Diocese of El Paso,499 St. Matthews Street,El Paso,TX,http://www.elpasodiocese.org/,http://www.elpasodiocese.org/parishes.html,
Diocese of Fort Worth,800 West Loop 820 South,Fort Worth,TX,http://www.fwdioc.org/,https://fwdioc.org/parish-finder,
Diocese of Laredo,1901 Corpus Christi St.,Laredo,TX,http://www.dioceseoflaredo.org/,https://dioceseoflaredo.org/parishes/,
Diocese of Lubbock,4620 Fourth Street,Lubbock,TX,http://www.catholiclubbock.org/,https://www.catholiclubbock.org/Parishes.html,
Diocese of San Angelo,804 Ford Street,San Angelo,TX,http://www.sanangelodiocese.org/,https://www.sanangelodiocese.org/parishfinder,TRUE
